Study;Species;Temperature;pCO2;temp_from_control;temp_from_max;Response;SD;pHt;delta_pH;CV
Anthony et al. 2008;Porolithon onkodes;25.5;303;0;-3.8;2.471;11.18033989;8.2;0;4.52462156616754
Anthony et al. 2008;;25.5;615.5;0;-3.8;2.235;11.18033989;7.9;0.3;5.00238921252796
Anthony et al. 2008;;25.5;1186;0;-3.8;-0.588;17.88854382;7.65;0.55;30.4226935714286
Anthony et al. 2008;;28.5;303;3;-0.8;3.294;13.41640786;8.2;0;4.07298356405586
Anthony et al. 2008;;28.5;615.5;3;-0.8;1.412;8.94427191;7.9;0.3;6.33447019121813
Anthony et al. 2008;;28.5;1186;3;-0.8;-2.588;11.18033989;7.65;0.55;4.32006950927357
Comeau et al. 2014 JEMBEa;Hydrolithon reinboldii;27.3;379;0;-3.2;0.115;0.03;8.06;0;0.260869565217391
Comeau et al. 2014 JEMBEa;;27.1;711;0;-3.4;0.08;0.046;7.84;0.22;0.575
Comeau et al. 2014 JEMBEa;;27.1;1108;0;-3.4;0.055;0.056;7.67;0.39;1.01818181818182
Comeau et al. 2014 JEMBEa;;29.8;405;2.5;-0.7;0.084;0.04;8.03;0;0.476190476190476
Comeau et al. 2014 JEMBEa;;29.9;726;2.8;-0.6;0.065;0.048;7.83;0.2;0.738461538461539
Comeau et al. 2014 JEMBEa;;29.8;1107;2.7;-0.7;0.045;0.061;7.67;0.36;1.35555555555556
Comeau et al. 2014 JEMBEb;Hydrolithon reinboldii;27.3;379;0;-3.2;0.125;0.056;8.06;0;0.448
Comeau et al. 2014 JEMBEb;;27.1;711;0;-3.4;0.089;0.02;7.84;0.22;0.224719101123596
Comeau et al. 2014 JEMBEb;;27.1;1108;0;-3.4;0.074;0.05;7.67;0.39;0.675675675675676
Comeau et al. 2014 JEMBEb;;29.8;405;2.5;-0.7;0.126;0.05;8.03;0;0.396825396825397
Comeau et al. 2014 JEMBEb;;29.9;726;2.8;-0.6;0.109;0.044;7.83;0.2;0.403669724770642
Comeau et al. 2014 JEMBEb;;29.8;1107;2.7;-0.7;0.104;0.028;7.67;0.36;0.269230769230769
Comeau et al. 2016a;Lithophyllum kotschyanum;24.08;330;-2.92;-5.92;0.24;0.11;8.11;0;0.458333333333333
Comeau et al. 2016a;;24.01;929;-2.99;-5.99;0.17;0.19;7.74;0.37;1.11764705882353
Comeau et al. 2016a;;25.42;344;-1.58;-4.58;0.25;0.15;8.1;0;0.6
Comeau et al. 2016a;;25.52;939;-1.48;-4.48;0.16;0.19;7.73;0.37;1.1875
Comeau et al. 2016a;;27.13;359;0.13;-2.87;0.25;0.14;8.08;0;0.56
Comeau et al. 2016a;;27.03;992;0.03;-2.97;0.17;0.15;7.71;0.37;0.88235294117647
Comeau et al. 2016a;;28.37;386;1.37;-1.63;0.31;0.18;8.05;0;0.580645161290323
Comeau et al. 2016a;;28.49;1006;1.49;-1.51;0.17;0.19;7.71;0.34;1.11764705882353
Comeau et al. 2016a;;29.89;396;2.89;-0.11;0.32;0.19;8.04;0;0.59375
Comeau et al. 2016a;;29.85;991;2.85;-0.15;0.22;0.15;7.71;0.33;0.681818181818182
Comeau et al. 2016b;Lithophyllum kotschyanum;23.99;326;-4.01;-6.01;0.47;0.22;8.11;0;0.468085106382979
Comeau et al. 2016b;;24;990;-4;-6;0.35;0.29;7.7;0.41;0.828571428571429
Comeau et al. 2016b;;25.41;348;-2.59;-4.59;0.48;0.21;8.07;0;0.4375
Comeau et al. 2016b;;25.46;974;-2.54;-4.54;0.36;0.24;7.71;0.36;0.666666666666667
Comeau et al. 2016b;;26.97;374;-1.03;-3.03;0.36;0.19;8.06;0;0.527777777777778
Comeau et al. 2016b;;27.01;941;-0.99;-2.99;0.27;0.24;7.72;0.34;0.888888888888889
Comeau et al. 2016b;;28.42;388;0.42;-1.58;0.31;0.16;8.05;0;0.516129032258065
Comeau et al. 2016b;;28.55;963;0.55;-1.45;0.26;0.33;7.71;0.34;1.26923076923077
Comeau et al. 2016b;;29.87;420;1.87;-0.13;0.33;0.18;8.02;0;0.545454545454545
Comeau et al. 2016b;;29.88;960;1.88;-0.12;0.25;0.14;7.72;0.30;0.56
Comeau et al. 2016b;;31.33;466;3.33;1.33;0.15;0.09;7.98;0;0.6
Comeau et al. 2016b;;31.25;984;3.25;1.25;0.17;0.27;7.71;0.27;1.58823529411765
Johnson and Carpenter 2012;Porolithon onkodes;25.83;413;0;-4.17;0.242601931;0.027055503;8.01;0;0.111522207958023
Johnson and Carpenter 2012;;25.83;488;0;-4.17;0.271445525;0.023392458;7.95;0.06;0.0861773573169055
Johnson and Carpenter 2012;;25.85;818;0;-4.15;0.206785411;0.018176382;7.76;0.25;0.0878997309921443
Johnson and Carpenter 2012;;28.6;355;2.77;-1.4;0.267496089;0.021554503;8.06;0;0.0805787594150582
Johnson and Carpenter 2012;;28.89;472;3.06;-1.11;0.242303191;0.02096214;7.96;0.1;0.0865120261664239
Johnson and Carpenter 2012;;28.69;715;2.86;-1.31;0.226051761;0.024402452;7.81;0.25;0.107950727267283
Vogel et al 2015;Unknown CCA;25.2;362;-1.1;-3.3;5.44;1.926577276;8.08;0;0.354150234558823
Vogel et al 2015;;24.8;432;-1.1;-3.7;22.00666667;6.108897882;8;0.08;0.277593057304212
Vogel et al 2015;;24.9;666;-1.1;-3.6;9.856666667;7.534250682;7.86;0.22;0.764381198689064
Vogel et al 2015;;25.1;931;-1.1;-3.4;7.703333333;2.746512941;7.75;0.33;0.356535647916769
Vogel et al 2015;;26.2;352;0;-2.3;8.58;6.550183204;8.09;0;0.763424615850816
Vogel et al 2015;;25.9;438;0;-2.6;23.25333333;7.091560712;7.98;0.11;0.304969640754726
Vogel et al 2015;;26.1;639;0;-2.4;4.746666667;2.109842016;7.86;0.23;0.444489188732831
Vogel et al 2015;;26.2;925;0;-2.3;3.576666667;2.679073223;7.75;0.34;0.749041907572317
Vogel et al 2015;;27;342;0.9;-1.5;23.58333333;1.042704816;8.08;0;0.0442136317801009
Vogel et al 2015;;27;439;0.9;-1.5;31.06;24.16140931;7.97;0.11;0.777894697681906
Vogel et al 2015;;26.8;604;0.9;-1.7;33.16333333;3.76639527;7.86;0.23;0.113571070571271
Vogel et al 2015;;27;991;0.9;-1.5;8.38;9.814830615;7.77;0.34;1.17122083711217
Vogel et al 2015;;27.6;384;1.6;-0.9;3.986666667;1.563852082;8.07;0;0.392270589097636
Vogel et al 2015;;27.6;445;1.6;-0.9;11.57666667;7.873501974;7.98;0.09;0.680118223875578
Vogel et al 2015;;27.7;686;1.6;-0.8;2.716666667;1.00857986;7.84;0.23;0.371256390138496
Vogel et al 2015;;27.8;917;1.6;-0.7;0.68;0.270554985;7.76;0.31;0.397874977941176
