Study;Species;Temperature;pCO2;temp_from_control;temp_from_max;Response;STDEV;N;CV;pH;pH_dev
Anlauf et al. 2011a;Porites panamensis;28.9;477;0;-1.1;97;7;27;0.072164948;8.03;0
Anlauf et al. 2011a;;28.9;823;0;-1.1;94;4.4;13;0.046808511;7.83;0.2
Anlauf et al. 2011a;;29.9;461;1;-0.1;117;10.2;5;0.087179487;8.04;0
Anlauf et al. 2011a;;29.9;883;1;-0.1;70;6.2;14;0.088571429;7.81;0.23
Anthony et al 2008a;Acropora intermedia;25.5;303;0;-3.8;12.118;2.27731422;15;0.187928224;8;0
Anthony et al 2008a;;25.5;615.5;0;-3.8;10;1.549193338;15;0.154919334;7.85;0.15
Anthony et al 2008a;;25.5;1186;0;-3.8;8.471;1.270338538;15;0.149963232;7.6;0.4
Anthony et al 2008a;;28.5;303;3;-0.8;9.765;2.323790008;15;0.237971327;8;0
Anthony et al 2008a;;28.5;615.5;3;-0.8;9.529;3.373368495;15;0.354010756;7.85;0.15
Anthony et al 2008a;;28.5;1186;3;-0.8;6.118;1.479479638;15;0.241824066;7.6;0.4
Anthony et al 2008b;Porites lobata;25.5;303;0;-3.8;12.235;4.78700742;15;0.391255204;8;0
Anthony et al 2008b;;25.5;615.5;0;-3.8;10.706;3.811015613;15;0.355970074;7.85;0.15
Anthony et al 2008b;;25.5;1186;0;-3.8;7.294;2.308298074;15;0.316465324;7.6;0.4
Anthony et al 2008b;;28.5;303;3;-0.8;9.529;2.86988066;15;0.30117333;8;0
Anthony et al 2008b;;28.5;615.5;3;-0.8;11.412;3.439209211;15;0.301367789;7.85;0.15
Anthony et al 2008b;;28.5;1186;3;-0.8;8.235;3.427590261;15;0.416222254;7.6;0.4
Bahr et al 2016a;Porites compressa;29.5;460;2.1;0;0.1364;0.270564225;20;1.98360869;8.04;0
Bahr et al 2016a;;29.5;990;2.1;0;-0.075;0.223606798;20;2.98142397;7.72;0.32
Bahr et al 2016a2;;27.4;460;0;-2.1;0.46;0.268328157;20;0.583322081;8.01;0
Bahr et al 2016a2;;27.4;990;0;-2.1;0.12;0.252228468;20;2.101903899;7.74;0.27
Bahr et al 2016b2;Montipora capitata;29.5;460;2.1;0;0.12;0.156971972;20;1.308099767;8.04;0
Bahr et al 2016b2;;29.5;990;2.1;0;0.12;0.126114234;20;1.050951949;7.72;0.32
Bahr et al 2016bb;;27.4;460;0;-2.1;0.32;0.160549681;20;0.501717752;8.01;0
Bahr et al 2016bb;;27.4;990;0;-2.1;0.22;0.139083428;20;0.632197401;7.74;0.27
Bahr et al 2016c2;Fungia scutaria;29.5;460;2.1;0;0.58;0.223606798;20;0.385528962;8.04;0
Bahr et al 2016c2;;29.5;990;2.1;0;0.52;0.312602303;20;0.601158275;7.72;0.32
Bahr et al 2016cc;;27.4;460;0;-2.1;0.75;0.223606798;20;0.298142397;8.01;0
Bahr et al 2016cc;;27.4;990;0;-2.1;0.54;0.313049517;20;0.579721327;7.74;0.27
Bahr et al 2016d;Pocillopora damicornis;29.5;460;2.1;0;0.14;0.178885438;20;1.27775313;8.04;0
Bahr et al 2016d;;29.5;990;2.1;0;0.13;0.178885438;20;1.376041832;7.72;0.32
Bahr et al 2016dd;;27.4;460;0;-2.1;0.42;0.129691943;20;0.30879034;8.01;0
Bahr et al 2016dd;;27.4;990;0;-2.1;0.26;0.135505719;20;0.521175844;7.74;0.27
Bahr et al 2016e;Leptastrea purpurea;29.5;460;2.1;0;0.038;0.07960402;20;2.094842632;8.04;0
Bahr et al 2016e;;29.5;990;2.1;0;0.0944;0.086312224;20;0.914324406;7.72;0.32
Bahr et al 2016ee;;27.4;460;0;-2.1;0.0902;0.088548292;20;0.98168838;8.01;0
Bahr et al 2016ee;;27.4;990;0;-2.1;0.0753;0.084076156;20;1.116549216;7.74;0.27
Comeau et al. 2014a;Acropora pulchra;27.3;379;0;-2.7;1.019;0.14;10;0.137389598;8.06;0
Comeau et al. 2014a;Acropora pulchra;29.8;405;2.5;-0.2;0.83;0.15;10;0.180722892;8.03;0
Comeau et al. 2014a;Acropora pulchra;27.3;711;0;-2.7;0.92;0.22;10;0.239130435;7.84;0.22
Comeau et al. 2014a;Acropora pulchra;29.8;726;2.5;-0.2;0.82;0.21;10;0.256097561;7.83;0.2
Comeau et al. 2014a;Acropora pulchra;27.3;1108;0;-2.7;0.75;0.12;10;0.16;7.67;0.39
Comeau et al. 2014a;Acropora pulchra;29.8;1107;2.5;-0.2;0.76;0.16;10;0.210526316;7.67;0.36
Comeau et al. 2014b;Acropora pulchra;27.3;379;0;-2.7;0.385;0.08;10;0.207792208;8.06;0
Comeau et al. 2014b;Acropora pulchra;29.8;405;2.5;-0.2;0.26;0.11;10;0.423076923;8.03;0
Comeau et al. 2014b;Acropora pulchra;27.3;711;0;-2.7;0.42;0.13;10;0.30952381;7.84;0.22
Comeau et al. 2014b;Acropora pulchra;29.8;726;2.5;-0.2;0.39;0.12;10;0.307692308;7.83;0.2
Comeau et al. 2014b;Acropora pulchra;27.3;1108;0;-2.7;0.38;0.12;10;0.315789474;7.67;0.39
Comeau et al. 2014b;Acropora pulchra;29.8;1107;2.5;-0.2;0.25;0.12;10;0.48;7.67;0.36
Comeau et al. 2016;Acropora pulchra;27.1;359;0;-2.9;1.2;0.07455847;10;0.062132058;8.08;0
Comeau et al. 2016;Acropora pulchra;28.4;386;1.3;-1.6;1.3;0.08433289;10;0.064871454;8.05;0
Comeau et al. 2016;Acropora pulchra;29.9;396;2.8;-0.1;0.67;0.05975212;10;0.089182269;8.04;0
